Julian Waddy|propio|Hipsterlativo|105296|@alejoeder Aún se puede remontar. No dejemos que la ciudad caiga en malas manos ✊
Compromiso Ciudadano|retweet|compromisociu|14518|#Avancemos con educación: me comprometo a continuar el programa “Mi comunidad es escuela”, a fortalecer el PAE de Cali, que es el mejor del país, y a ampliar su cobertura para que más niños se beneficien con la mejor alimentación en más comedores escolares. https://t.co/hQdSEBcsot
Sergio Fajardo|retweet|sergio_fajardo|1441366|Hoy les quiero oficializar la principal adhesión que tendrá mi campaña, que será con la educación. Quiero una sola Cali, y la educación será el vehículo principal para que todos los caleños nos unamos para transformar esta ciudad.
Compromiso Ciudadano|retweet|compromisociu|14518|Hoy les quiero oficializar la principal adhesión que tendrá mi campaña, que será con la educación. Quiero una sola Cali, y la educación será el vehículo principal para que todos los caleños nos unamos para transformar esta ciudad.
Sergio Fajardo|retweet|sergio_fajardo|1441366|#Cali | "Si en Cali no le apostamos a la educación, estamos en la olla, @alejoeder lo tiene claro y por eso es la mejor persona para ser Alcalde de Cali". @sergio_fajardo https://t.co/YDHSzViXDI
Compromiso Ciudadano|propio|compromisociu|14518|#Cali | "Si en Cali no le apostamos a la educación, estamos en la olla, @alejoeder lo tiene claro y por eso es la mejor persona para ser Alcalde de Cali". @sergio_fajardo https://t.co/YDHSzViXDI
Samuel Azout|retweet|samuelazout|45900|#Avancemos con educación: también me comprometo a tener más profesores, más computadores y más zonas Wi-Fi para los estudiantes. Los niños deben contar con las mejores herramientas para ampliar sus competencias y acceder a la información. https://t.co/eb9985MxVj
Compromiso Ciudadano|retweet|compromisociu|14518|Orgulloso de presentar esta propuesta de @alejoeder que representa lo que nos soñamos como sociedad. Con educación vamos a avanzar en Cali. No se pierdan Facebook Live aquí https://t.co/STtbtR95s2. https://t.co/mCDva5YFpX
Samuel Azout|propio|samuelazout|45900|Bravo! @alejoeder Será un excelente Alcalde. https://t.co/aTzf9zoR75
Sergio Fajardo|propio|sergio_fajardo|1441366|Orgulloso de presentar esta propuesta de @alejoeder que representa lo que nos soñamos como sociedad. Con educación vamos a avanzar en Cali. No se pierdan Facebook Live aquí https://t.co/STtbtR95s2. https://t.co/mCDva5YFpX
Ricardo Sabogal U|retweet|RicardoSabogalU|34825|Conectados con @MiTropicana93 porque estaremos en minutos al aire @TalianaV ☝️ https://t.co/jP5tucl4rV
Fútbol y más|propio|OtraMasdeFutbol|22762|A los de la campaña de @alejoeder, creo que ya se recogieron las firmas, deberían empezar a limpiar la ciudad, que se supone que quieren, del empapelamiento que la tienen, además de ser prohibido... https://t.co/8qW1rPcOHI
Sergio Fajardo|retweet|sergio_fajardo|1441366|Mañana lunes 12 acompañamos en la unión con la que transfoemaremos a Cali.
Compromiso Ciudadano|retweet|compromisociu|14518|Mañana lunes 12 acompañamos en la unión con la que transfoemaremos a Cali.
SantiagoLondoñoUribe|retweet|slondonouribe|18311|#FelizLunes desde el Valle del Cauca. ☀️ Hoy estaremos junto a @sergio_fajardo acompañando a  @alejoeder, candidato a la alcaldía de Cali y a @SoyOscarEscobar, candidato a la alcaldía de Palmira. ¡En el Valle, #SePuede! https://t.co/NfdrfKodaI
Sergio Fajardo|retweet|sergio_fajardo|1441366|#FelizLunes desde el Valle del Cauca. ☀️ Hoy estaremos junto a @sergio_fajardo acompañando a  @alejoeder, candidato a la alcaldía de Cali y a @SoyOscarEscobar, candidato a la alcaldía de Palmira. ¡En el Valle, #SePuede! https://t.co/NfdrfKodaI
Compromiso Ciudadano|propio|compromisociu|14518|#FelizLunes desde el Valle del Cauca. ☀️ Hoy estaremos junto a @sergio_fajardo acompañando a  @alejoeder, candidato a la alcaldía de Cali y a @SoyOscarEscobar, candidato a la alcaldía de Palmira. ¡En el Valle, #SePuede! https://t.co/NfdrfKodaI
Alejandro Eder|retweet|alejoeder|12967|Mañana lunes 12 acompañamos en la unión con la que transfoemaremos a Cali.
Ricardo Sabogal U|retweet|RicardoSabogalU|34825|¡Cada vez somos más! #AEstaHora con amigos del barrio Alfonso Bonilla Aragón (comuna 14). 
Amparo Meza|retweet|amparomeza|15755|@Dranguet @YeisonHakoda @Michel_Maya @alejoeder @robertoortizu @guillelombana @DanielSamperO @DCoronell @vanedelatorre @MabelLaraNews @elpaiscali @AlcaldiaDeCali Este señor abogado cubano es Beneficiario  directo de los sobrecostos de la remodelación del Pascual  Guerrero y sueña con que Ospina vuelva a la @AlcaldiaDeCali para que le den más negocios. Descarado. Lo desenmascararemos @hugomariocard @Michel_Maya @elpaiscali
Ricardo Sabogal U|retweet|RicardoSabogalU|34825|Sábado con los nuevos integrantes de nuestro proyecto de ciudad. #Avancemos para que Cali sea GRANDE. Bienvenido @PardoCamara107 https://t.co/4wA2HXM3bC
Compromiso Ciudadano|retweet|compromisociu|14518|Sábado con los nuevos integrantes de nuestro proyecto de ciudad. #Avancemos para que Cali sea GRANDE. Bienvenido @PardoCamara107 https://t.co/4wA2HXM3bC
Sara Mercedes Rodas|retweet|sameroso|10282|El 13 de agosto en la @javerianacali será el 2° #CicloDebatesCali2019. El evento contará con la participación de @Michel_Maya @JorgeIvanOspina @alejoeder @alexduran76 @FrancinedCali Fernando Toloza @DanisRenteria @robertoortizu. #EntradaLibre, inscríbase: https://t.co/YnJt42IFIS https://t.co/1kXLiDllNn
JULIAN VASQUEZ|propio|vasjulian|36909|@oqs216 @AmericadeCali @JaimeDinas @FuriaRojaTV @diegosaviola10 @elpaiscali @stevenarce @FabianVargas6 @alejoeder @Pachovelez10 Estoy en eso , pronto lo tendremos
Ricardo Sabogal U|retweet|RicardoSabogalU|34825|Nuestra casa abierta a los ciudadanos. Gracias a Rubén, un gran líder social de Cali. https://t.co/p4WfaCwwnt
